"","blotid","muscle","exercise","keap1c","nrf2n","nrf2c","ho1t","sod1t","nkrt","nkrc","nrf2t"
"1","A","G","EX",0.249168816991282,0.839417074119988,-0.326949026674164,-1.27639286334532,-0.110291296446452,-0.362426220038926,-0.576117843665446,-0.113257403047644
"2","A","S","EX",-0.0902043089760677,0.658159554836543,-0.240728959707891,-1.02604167693328,0.03346985284048,-0.0207693643497814,-0.150524650731824,-0.110973673325849
"3","A","SQ","EX",0.0828295745961272,0.516064303888342,-0.192852638490253,-1.27137807956813,-0.124820618955382,-0.217005083190238,-0.27568221308638,-0.13417550859411
"4","A","DQ","EX",0.206003064894484,0.449243106939584,-0.452088099044832,-1.56887295894606,-0.103871336147364,-0.591438733195077,-0.658091163939315,-0.385435668300593
"5","B","G","SED",-1.13131055768228,1.20181542184898,-1.08676848424126,-1.04795660851332,-0.136433886501788,0.488695052551782,0.0445420734410196,-0.642615505130496
"6","B","S","SED",-0.582867657082743,1.04407843002103,-0.0338572940343756,-1.01886521545937,-0.472594502661547,0.705397639250914,0.549010363048368,0.122529982168171
"7","B","SQ","SED",-0.465464012913825,0.507425056385113,-0.754033052749287,-1.25726444495517,-0.0631362088372293,0.0498998404922194,-0.288569039835463,-0.415564172421605
"8","B","DQ","SED",0.178989386275019,0.659363933954909,-0.227946718073318,-0.757675888412334,0.532588504979023,-0.0264910536790135,-0.406936104348337,0.152498332596006
"9","C","G","EX",0.89825276552757,0.833812371405096,0.592357718367352,-0.0511488206138625,-0.0929012226728523,-0.279149636856598,-0.305895047160219,0.619103128670972
"10","C","S","EX",1.34085644575564,1.24964687279385,0.850174040213663,0.530514215148558,0.463661365794419,-0.356287403232335,-0.490682405541981,0.984569042523309
"11","C","SQ","EX",0.335759496968355,0.75102924028282,0.48516465537044,-0.114288171066281,0.411885082566911,0.217104077423532,0.149405158402085,0.552863574391887
"12","C","DQ","EX",-1.10890231991292,0.0695271447375769,0.0873127399085968,-0.15053497769686,0.130226107432777,1.19383647263193,1.19621505982152,0.084934152719008
"13","D","G","EX",-0.118541403144328,0.0861812466934651,0.307115418336678,-0.32136622707026,-0.0211938616140027,0.400410173551166,0.425656821481007,0.281868770406838
"14","D","S","EX",-0.389437464753474,0.596128568716327,-0.469353280768159,-0.58835911271911,0.0796273167953056,0.259212519801187,-0.0799158160146845,-0.130224944952287
"15","D","SQ","EX",0.83824464629015,-0.0462203938593137,0.256338197991417,-0.0842897276758207,-0.235837821202174,-0.713469331472931,-0.581906448298733,0.124775314817219
"16","D","DQ","EX",0.993355575030075,0.39245793373254,0.418511598006062,-0.411135730741001,0.274340508261458,-0.587665352262117,-0.574843977024013,0.405690222767958
"17","E","G","SED",-0.462154228554074,0.705591013911618,-0.363473041589213,-1.5330827492494,-0.621625796457011,0.195161488198767,0.098681186964861,-0.266992740355307
"18","E","S","SED",0.0054290460236265,0.534282923427528,-0.585662718074937,-0.937007933766211,0.168813938288895,-0.274492328893559,-0.591091764098563,-0.269063282869933
"19","E","SQ","SED",-0.461500650251622,0.309255469245128,-0.12298355997165,-1.06353233857665,-0.102429725732491,0.387327232879485,0.338517090279972,-0.0741734173721365
"20","E","DQ","SED",-0.190077508578935,0.180874919251594,-0.711187248476909,-1.3979764518039,-0.345923053232395,-0.394303773227635,-0.521109739897974,-0.58438128180657
"21","F","G","EX",-0.790285017512564,0.460003904485209,-0.781959684059084,-1.7994243495141,-0.0891445524095465,0.144190473447108,0.00832533345347991,-0.646094544065456
"22","F","S","EX",-0.172680988763822,0.315049061804062,-0.0411598328311914,-0.723097424804915,0.832468956510858,0.225571762501518,0.13152115593263,0.0528907737376967
"23","F","SQ","EX",-0.810187147360385,0.534954022583556,-0.768884883079984,-1.56689967949389,-0.229229332169368,0.195637871248275,0.0413022642804004,-0.61454927611211
"24","F","DQ","EX",-0.57969111050958,0.927358651853271,-0.652220346735522,-1.85789222047541,0.157696466090596,0.257246936905262,-0.0725292362259418,-0.322444173604318
"25","G","G","SED",0.328667386434687,0.458424088137489,-0.0516000782830232,-0.405174040472459,-0.0795402139446595,-0.33828202933736,-0.38026746471771,-0.00961464290267324
"26","G","S","SED",-0.267844517660998,1.20014462518954,-0.771738130876666,-0.364392778524346,0.617124725414147,0.317830338176983,-0.503893613215668,0.0499858205159848
"27","G","SQ","SED",0.135702479109722,0.776859767519728,0.0840210880287069,-0.71433361647778,-0.0719606531404415,-0.0135479191709789,-0.0516813910810148,0.122154559938743
"28","G","DQ","SED",-0.0954849180701665,-0.5195877661281,-0.877453962610204,-1.13257632160605,0.11375365749353,-0.654946561900042,-0.781969044540038,-0.750431479970209
"29","H","G","SED",-1.32234264962142,0.358771834925367,-0.897768629983141,-1.14700811110047,-0.933188422088657,0.645229415557545,0.424574019638282,-0.677113234063878
"30","H","S","SED",-0.717222294341955,0.611291553457277,-0.840718710535079,-0.323395070703149,0.276684340991054,0.168089428081294,-0.123496416193124,-0.549132866260661
"31","H","SQ","SED",-2.11421627446721,0.676809718039708,-0.608267794649036,-1.06665831829828,-0.259166960296372,1.66655080044626,1.50594847981817,-0.447665474020955
"32","H","DQ","SED",-2.19018612545499,0.895264354821589,-1.14467483467248,-1.06796191735637,-0.10405597804826,1.40934760587453,1.04551129078251,-0.78083851958046
"33","I","G","EX",-0.264204571794727,0.996838650983823,-1.48388011207346,-1.46101006251901,0.0215521156564252,-0.705264783214438,-1.21967554027873,-0.969469355009165
"34","I","S","EX",-0.21158610909126,0.701076510169143,-0.467970577297096,-1.18941308006434,0.0706785792163196,-0.106059788412731,-0.256384468205836,-0.317645897503991
"35","I","SQ","EX",-0.210043150017994,0.18669940999528,-0.653960679530354,-1.69778137625757,-0.0312463625708254,-0.341286810393524,-0.443917529512359,-0.551329960411518
"36","I","DQ","EX",-0.486856541153,0.456525265321356,-0.576819567962507,-1.45263824427654,0.00843648259259772,0.157523033067547,-0.0899630268095069,-0.329333508085453
"37","J","G","EX",-1.00824224581662,0.887020421494831,-1.94989233745319,-0.479486643228443,-0.116936515305859,0.37397122292958,-0.941650091636574,-0.634271022887039
"38","J","S","EX",-0.0726575138079681,1.36061390790059,0.0776969369650275,-0.793374471565582,0.461655524330295,0.334963522732484,0.150354450772996,0.262306008924516
"39","J","SQ","EX",-0.457630066494948,0.679009274690452,-0.299086860515219,-0.797924355283072,-0.00437083821161594,0.335201471919812,0.158543205979728,-0.122428594575136
